,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Logistic,False,False,False,False,2,1000,0.868,0.868,0.20712419229218162,0.2072269967690217,0.34964712013150046,0.3496442098331511,0.921344537815126,0.9212605042016806,0.868,0.868,0.04507738341539675,0.04397313800514001,Logistic
Naive Bayes,False,False,False,False,2,1000,0.862,0.864,0.2202503408633628,0.2035335736957195,0.42220354844722957,0.3356137946740794,0.9378631452581032,0.9277190876350538,0.862,0.864,0.10962308358146577,0.028515034068382523,Naive Bayes
SVM,False,False,False,False,2,1000,0.871,0.872,0.2090263334509916,0.2091013837938429,0.35024590091581975,0.3502923070570813,0.9210484193677472,0.920968387354942,0.871,0.872,0.048884466749805726,0.04727001902468128,SVM
Random forest,False,False,False,False,2,1000,0.941,0.941,0.1002754,0.0994676127478105,0.21000138398008852,0.20758721445625788,0.980748299319728,0.9807122849139657,0.9419419419419419,0.941,0.0,0.051191864406036965,Random forest
XGBoost,False,False,False,False,2,1000,0.941,0.941,0.09253261015127125,0.0925688881566092,0.15955463146429133,0.15971670959253823,0.9833373349339736,0.9833573429371749,0.941,0.941,0.02158957055527672,0.014138532428533343,XGBoost
Logistic ,False,True,False,False,2,1000,0.863,0.864,0.2018198930060617,0.20193884562790249,0.3283867084391764,0.3286327967099309,0.9221148459383754,0.9231052420968389,0.863431715857929,0.864,0.0,0.0,Logistic - isotonic
Naive Bayes ,False,True,False,False,2,1000,0.861,0.86,0.19503802742672752,0.19516312518590068,0.3124352900934202,0.3124765671723403,0.9364785914365746,0.9361664665866346,0.861,0.86,0.014394171546855308,0.0,Naive Bayes - isotonic
SVM ,False,True,False,False,2,1000,0.873,0.873,0.202928040781725,0.20304612366215494,0.33286927490434487,0.33309395227180394,0.9212885154061624,0.9225890356142457,0.873,0.873,0.046760764487166755,0.0,SVM - isotonic
Random forest ,False,True,False,False,2,1000,0.936,0.936,0.09907022662923771,0.09912553253953621,0.17326415364149722,0.17321886289682947,0.978297318927571,0.9788595438175269,0.936,0.936,0.03890901095015223,0.006861083406090754,Random forest - isotonic
XGBoost ,False,True,False,False,2,1000,0.94,0.939,0.0906274732815714,0.09071062124659005,0.18538692546765234,0.18563845684553573,0.9836934773909564,0.98359343737495,0.94,0.939,0.0,0.0,XGBoost - isotonic
Logistic ,False,False,True,False,2,1000,0.868,0.868,0.20792762387320493,0.20801630427564402,0.3496919675436935,0.3497026516740044,0.9212244897959183,0.9210324129651861,0.868,0.868,0.044491271622302694,0.04544717588305872,Logistic - sigmoid
Naive Bayes ,False,False,True,False,2,1000,0.867,0.867,0.2079103749175609,0.20799417616805616,0.34690227245960925,0.347125526120874,0.9384473789515805,0.9375590236094438,0.867,0.867,0.08357927853461526,0.07967366769256413,Naive Bayes - sigmoid
SVC ,False,False,True,False,2,1000,0.871,0.872,0.2090263334509916,0.2091013837938429,0.35024590091581975,0.3502923070570813,0.9210484193677472,0.920968387354942,0.871,0.872,0.048884466749805726,0.04727001902468128,SVC - sigmoid
Random forest ,False,False,True,False,2,1000,0.938,0.938,0.10135568481599105,0.10138679384578671,0.17970248914135645,0.17994915387445226,0.9774009603841537,0.9772789115646258,0.938,0.938,0.023724632058729572,0.02525916326682615,Random forest - sigmoid
