,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Logistic,False,False,False,False,2,1000,0.8705416116248349,0.8903566710700133,0.19856342311562541,0.1689828146549614,0.3305759032079267,0.29276891470875843,0.9190552625544599,0.9321715202935106,0.8705416116248349,0.8903566710700133,0.08753367267069485,0.05589999512907771,Logistic
Naive Bayes,False,False,False,False,2,1000,0.8797886393659181,0.8943196829590488,0.20201634802081173,0.16920224012935145,0.3844196333463725,0.2895457767701828,0.9343040587021325,0.9335320645111976,0.8797886393659181,0.8943196829590488,0.10511387251607113,0.04856571384156412,Naive Bayes
SVM,False,False,False,False,2,1000,0.8771466314398944,0.8943196829590488,0.2001160919073136,0.17020028664862827,0.3325393969928162,0.2940281754514965,0.9189023924176413,0.933241611251242,0.8771466314398944,0.8943196829590488,0.08972670798328779,0.05811372416472544,SVM
Random forest,False,False,False,False,2,1000,0.9511228533685601,0.952443857331572,0.09620079260237782,0.08823567929368417,0.26214970520550473,0.24637659398256517,0.973542001070091,0.9788695253382251,0.9517514871116987,0.952443857331572,0.07425533334005291,0.032451857484326045,Random forest
XGBoost,False,False,False,False,2,1000,0.9418758256274768,0.9458388375165125,0.09294629397880294,0.08694021239803984,0.16237590203897756,0.1536844641004704,0.9789268516395322,0.9812810517465413,0.9418758256274768,0.9458388375165125,0.040234626885244915,0.025466480314369173,XGBoost
Logistic ,False,True,False,False,2,1000,0.8797886393659181,0.8956406869220608,0.1907322893793284,0.16839308903306965,0.3213640014841059,0.28710485281836784,0.9182297638156387,0.9358404035771611,0.8797886393659181,0.8956406869220608,0.0683943832452897,0.04342050031741362,Logistic - isotonic
Naive Bayes ,False,True,False,False,2,1000,0.869220607661823,0.8837516512549538,0.19063529414405103,0.16278087740947472,0.3068951699568212,0.27097656295971984,0.9327486050600015,0.944592218910036,0.869220607661823,0.8837516512549538,0.10966142757105161,0.046299978208569036,Naive Bayes - isotonic
SVM ,False,True,False,False,2,1000,0.8758256274768824,0.892998678996037,0.1947129776016959,0.17073587990810069,0.3280817883803229,0.29250559681358995,0.9173736910494535,0.93273713979974,0.8758256274768824,0.892998678996037,0.0851836157799259,0.05986578676534875,SVM - isotonic
Random forest ,False,True,False,False,2,1000,0.9431968295904888,0.9431968295904888,0.09618182709122826,0.09067450051866309,0.21350549484529455,0.20378884283736476,0.9730298861117481,0.9761293281357486,0.9431968295904888,0.9431968295904888,0.01424970224812308,0.03795665013985856,Random forest - isotonic
XGBoost ,False,True,False,False,2,1000,0.9431968295904888,0.9445178335535006,0.088569254279268,0.08357969764754775,0.19797320655671014,0.1895562543686214,0.979137048077658,0.981686157609111,0.9431968295904888,0.9445178335535006,0.06282606198124863,0.0,XGBoost - isotonic
Logistic ,False,False,True,False,2,1000,0.869220607661823,0.8916776750330251,0.19909719148836977,0.16901120658153568,0.3315474173205635,0.29254750669012913,0.9186348696782083,0.9327906443476267,0.869220607661823,0.8916776750330251,0.09154827820649739,0.0589905711657357,Logistic - sigmoid
Naive Bayes ,False,False,True,False,2,1000,0.8731836195508587,0.8863936591809776,0.2050594411050611,0.17844805695118784,0.351858946173368,0.3113945247975023,0.9348926087288848,0.9432698922265537,0.8731836195508587,0.8863936591809776,0.11427937236918301,0.09575667409337496,Naive Bayes - sigmoid
SVC ,False,False,True,False,2,1000,0.8771466314398944,0.8943196829590488,0.2001160919073136,0.17020028664862827,0.3325393969928162,0.2940281754514965,0.9189023924176413,0.933241611251242,0.8771466314398944,0.8943196829590488,0.08972670798328779,0.05811372416472544,SVC - sigmoid
Random forest ,False,False,True,False,2,1000,0.9445178335535006,0.9471598414795245,0.09451947341520764,0.08972088205699383,0.17518122722348387,0.16641014026280912,0.9751891767943133,0.9776656730107773,0.9445178335535006,0.9471598414795245,0.025564489068708177,0.0,Random forest - sigmoid
XGBoost ,False,False,True,False,2,1000,0.9458388375165125,0.9484808454425363,0.08994238889709771,0.084958341828439,0.16155283272823837,0.15313614550592422,0.9792708094473744,0.9819766108690668,0.9458388375165125,0.9484808454425363,0.04980712201160219,0.02937860743599321,XGBoost - sigmoid
Logistic ,False,False,False,True,2,1000,0.8705416116248349,0.892998678996037,0.1975904181314028,0.17208085550425026,0.32649715240852195,0.2922953405638397,0.916253917297256,0.9329129404570816,0.8705416116248349,0.892998678996037,0.07439902164270061,0.037415286981189025,Logistic - venn_abers
Naive Bayes ,False,False,False,True,2,1000,0.8731836195508587,0.8916776750330251,0.19047332613348095,0.1622824014539941,0.3046201798973205,0.27048816974140694,0.9338989528395627,0.9454635786899029,0.8731836195508587,0.8916776750330251,0.07610847989446122,0.049618909009535486,Naive Bayes - venn_abers
SVM ,False,False,False,True,2,1000,0.8652575957727873,0.8890356671070013,0.20302131367441617,0.17606359380349515,0.3336807805538201,0.29863160214457557,0.9153405182297638,0.9283115493388365,0.8652575957727873,0.8890356671070013,0.06899677843495905,0.047746531651562375,SVM - venn_abers
Random forest ,False,False,False,True,2,1000,0.9286657859973579,0.9379128137384413,0.10611803219716334,0.09889013233866548,0.1910298979730039,0.17847918826708625,0.9689520752121074,0.9733776656730108,0.9286657859973579,0.9379128137384413,0.06373689384814885,0.014212858520975981,Random forest - venn_abers
XGBoost ,False,False,False,True,2,1000,0.9365918097754293,0.940554821664465,0.10033235259479624,0.09049701776828645,0.1716121884357289,0.15764252940985518,0.9766414430940915,0.9800810211725139,0.9365918097754293,0.940554821664465,0.05770710780611489,0.021598449497763843,XGBoost - venn_abers
Logistic,True,False,False,False,2,1000,0.8705416116248349,0.8718626155878467,0.19856342311562541,0.19013608198475782,0.3305759032079266,0.32389170509385845,0.9190552625544599,0.914935412367194,0.8705416116248349,0.8718626155878467,0.08753367267069487,0.025605145404021742,Logistic- exch
Naive Bayes,True,False,False,False,2,1000,0.8797886393659181,0.8797886393659181,0.20201634802081167,0.1892484078171744,0.3844196333463725,0.313765291554031,0.9343040587021325,0.9276694947641977,0.8797886393659181,0.8797886393659181,0.10511387251607113,0.059459725322640475,Naive Bayes- exch
SVM,True,False,False,False,2,1000,0.8771466314398944,0.8705416116248349,0.20011609190731358,0.1926999824678751,0.3325393969928162,0.3275371169347881,0.9189023924176413,0.913567224642666,0.8771466314398944,0.8705416116248349,0.08972670798328777,0.03364503766971581,SVM- exch
Random forest,True,False,False,False,2,1000,0.9445178335535006,0.9484808454425363,0.096532892998679,0.09524603263605061,0.2191482710237535,0.2160887431448134,0.974283421233662,0.9745241916991516,0.9463931171409663,0.9484808454425363,0.018558279861319943,0.029285966999984217,Random forest- exch
XGBoost,True,False,False,False,2,1000,0.9418758256274768,0.940554821664465,0.09290056787070138,0.09249096039468542,0.1622902146659384,0.16215693095018444,0.9789650691737369,0.9789268516395322,0.9418758256274768,0.940554821664465,0.03674054151305177,0.029751888426991488,XGBoost- exch
Logistic ,True,True,False,False,2,1000,0.8797886393659181,0.8771466314398944,0.19073228937932843,0.18600499758163394,0.3213640014841059,0.3131961115910103,0.9182297638156387,0.9141099136283726,0.8797886393659181,0.8771466314398944,0.0683943832452897,0.010251864653005302,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,2,1000,0.869220607661823,0.8784676354029062,0.19063529414405098,0.18519108720198468,0.3068951699568212,0.29944854752075417,0.9327486050600015,0.92801345257204,0.869220607661823,0.8784676354029062,0.10966142757105161,0.034692366149559714,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,2,1000,0.8758256274768824,0.8784676354029062,0.19471297760169592,0.1905026726761985,0.3280817883803229,0.32030643253878005,0.9173736910494535,0.9113658946724758,0.8758256274768824,0.8784676354029062,0.0851836157799259,0.009048275116996895,SVM - isotonic- exch
Random forest ,True,True,False,False,2,1000,0.9445178335535006,0.9445178335535006,0.0970183711536943,0.0968087475983639,0.18107708045158477,0.18016284999120885,0.9725292364136666,0.9729037682488726,0.9451421017845341,0.9445178335535006,0.0,0.02245476924277635,Random forest - isotonic- exch
XGBoost ,True,True,False,False,2,1000,0.9431968295904888,0.9431968295904888,0.0880747789941444,0.08773162109074127,0.1975164346634302,0.19691942764902443,0.9792134831460674,0.9796376977757394,0.9431968295904888,0.9431968295904888,0.03986493665915587,0.017635773261011418,XGBoost - isotonic- exch
Logistic ,True,False,True,False,2,1000,0.869220607661823,0.8731836195508587,0.19909719148836977,0.19000833369792502,0.3315474173205635,0.32510376239000016,0.9186348696782083,0.9141022701215318,0.869220607661823,0.8731836195508587,0.09154827820649737,0.02813175761904759,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,2,1000,0.8731836195508587,0.8771466314398944,0.2050594411050611,0.20044764536772677,0.351858946173368,0.3436946883819235,0.9348926087288848,0.9062294580753649,0.8731836195508587,0.8771466314398944,0.114279372369183,0.040332529359098514,Naive Bayes - sigmoid- exch
