,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Logistic,False,False,False,False,2,1000,0.492,0.57,0.7803306670077953,0.605048596793686,1.4354891923351392,0.9481312856567901,0.5019444800821091,0.6041359291808327,0.492,0.57,0.3734263041724328,0.3154100904562862,Logistic
Naive Bayes,False,False,False,False,2,1000,0.497,0.505,0.9262802676681445,0.788717840894295,4.128692527211184,2.270712559847463,0.5000220508050548,0.5449235037526461,0.497,0.505,0.46247439358922293,0.4023644073125901,Naive Bayes
SVM,False,False,False,False,2,1000,0.493,0.568,0.769151528924953,0.5947299329864376,1.3562022998329089,0.906307072338701,0.5016918981332992,0.6058558919751106,0.493,0.568,0.3659572941300594,0.29671181022292153,SVM
Random forest,False,False,False,False,2,1000,0.488,0.547,0.8754860000000001,0.6861177429345021,4.46989107860865,3.990037302400802,0.5043640547822182,0.5932087529668356,0.4887330996494742,0.547,0.4395911427363835,0.41653283191525176,Random forest
XGBoost,False,False,False,False,2,1000,0.488,0.51,0.9190825916145693,0.7029213106325589,1.8884317240655928,1.0627876491417996,0.4947418853037398,0.6816505228045416,0.488,0.51,0.4559355150727366,0.5017903787809729,XGBoost
Logistic ,False,True,False,False,2,1000,0.499,0.56,0.8047477672916881,0.6017373837168944,1.594608297936058,1.1450907993089017,0.503387805503881,0.6286383828340496,0.499,0.56,0.38361373927486003,0.3834043839121103,Logistic - isotonic
Naive Bayes ,False,True,False,False,2,1000,0.496,0.547,0.8185034921834671,0.6421656620285232,1.5625229667320972,0.9933390315527773,0.5022992975816281,0.623520591442684,0.496,0.547,0.3883820918466827,0.39859059579414624,Naive Bayes - isotonic
SVM ,False,True,False,False,2,1000,0.495,0.562,0.8041517886192041,0.6013855320183796,1.5203842219593884,1.0714656383125627,0.5026460966065817,0.6237571364423633,0.495,0.562,0.3823533728268146,0.3818953940113715,SVM - isotonic
Random forest ,False,True,False,False,2,1000,0.488,0.543,0.9081264137933215,0.716291300206429,2.0851930590402894,1.2072379709419574,0.49616716915773945,0.6498332157290396,0.488,0.543,0.45132955975107597,0.4808053795265408,Random forest - isotonic
XGBoost ,False,True,False,False,2,1000,0.489,0.525,0.9188407312641766,0.7451259067663978,4.039707407627194,3.311872923820894,0.48959001539547115,0.6205938482263135,0.489,0.525,0.4558807704481138,0.4748723754605178,XGBoost - isotonic
Logistic ,False,False,True,False,2,1000,0.493,0.566,0.772330032724405,0.597823442975235,1.3818194736807292,0.9203915267130316,0.5024656809288601,0.6057917441785874,0.493,0.566,0.36687861686887946,0.30506109000555603,Logistic - sigmoid
Naive Bayes ,False,False,True,False,2,1000,0.495,0.519,0.8067611854067837,0.5868195782431818,1.2246843450390505,0.8388781898501791,0.5004109468214767,0.6723972031560717,0.495,0.519,0.3925283161762475,0.38892140755556087,Naive Bayes - sigmoid
SVC ,False,False,True,False,2,1000,0.493,0.568,0.769151528924953,0.5947299329864376,1.3562022998329089,0.906307072338701,0.5016918981332992,0.6058558919751106,0.493,0.568,0.3659572941300594,0.29671181022292153,SVC - sigmoid
Random forest ,False,False,True,False,2,1000,0.49,0.522,0.9071514640747704,0.6697284508191517,1.7641273434118951,1.0462362602370936,0.5012869651677465,0.6719361408685611,0.49,0.522,0.45325500098580523,0.4843128724195214,Random forest - sigmoid
XGBoost ,False,False,True,False,2,1000,0.494,0.521,0.9101691351400154,0.6801561120234849,1.8078631381494843,1.056622925027909,0.4956018667008788,0.6731108473923921,0.494,0.521,0.4511570150020462,0.4889273335157965,XGBoost - sigmoid
Logistic ,False,False,False,True,2,1000,0.496,0.57,0.7913788590018683,0.590721805421903,1.3168571662681652,0.9006341516745415,0.4999819584322278,0.6304365257553403,0.496,0.57,0.37135136325284346,0.3792834252599357,Logistic - venn_abers
