,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Logistic,False,False,False,False,2,1000,0.868,0.869,0.20702479533876708,0.20712088163535258,0.3497326275624629,0.34972363506732845,0.9212885154061625,0.9211924769907962,0.868,0.869,0.043458504941039366,0.04426641303716861,Logistic
Naive Bayes,False,False,False,False,2,1000,0.865,0.863,0.2199294080186114,0.20335839036164885,0.4220032545042354,0.33556346263733555,0.9378471388555422,0.9277230892356945,0.865,0.863,0.10840182071958866,0.029167879549809816,Naive Bayes
SVM,False,False,False,False,2,1000,0.873,0.873,0.20895461460755768,0.20902187828537236,0.35030838724658,0.35034949863764836,0.9210284113645458,0.9209123649459785,0.873,0.873,0.05021186994603594,0.04849316642021842,SVM
Random forest,False,False,False,False,2,1000,0.936,0.936,0.1022098,0.1015403399158279,0.21307545030634034,0.21122464301896798,0.9781612645058024,0.9782673069227691,0.9369369369369369,0.936,0.061879817472353715,0.04511854301461521,Random forest
XGBoost,False,False,False,False,2,1000,0.94,0.94,0.09269007069444092,0.092727053811205,0.1597158537886405,0.15987848159800455,0.9833253301320528,0.983345338135254,0.94,0.94,0.02085573743481452,0.013134609317766697,XGBoost
Logistic ,False,True,False,False,2,1000,0.865,0.865,0.20137365695452225,0.20149263648438753,0.32862866708330607,0.3288706855673789,0.9216926770708282,0.9220488195278111,0.865,0.865,0.0,0.0,Logistic - isotonic
Naive Bayes ,False,True,False,False,2,1000,0.86,0.859,0.19459521255748416,0.19472025402150717,0.31250145580700855,0.31254213095167677,0.9369607843137255,0.936594637855142,0.86,0.859,0.07639240480638441,0.0,Naive Bayes - isotonic
SVM ,False,True,False,False,2,1000,0.873,0.873,0.20215027693210882,0.20226758630584254,0.33216390466023216,0.33238950350596297,0.9211644657863145,0.9221288515406163,0.873,0.873,0.05310833052881557,0.0,SVM - isotonic
Random forest ,False,True,False,False,2,1000,0.938,0.937,0.09679616452674919,0.0968215133753185,0.20096541266456008,0.20092352087455032,0.9786694677871147,0.9791736694677871,0.938,0.937,0.0,0.0,Random forest - isotonic
XGBoost ,False,True,False,False,2,1000,0.937,0.937,0.09138218136406641,0.09147497685110437,0.1862415447543586,0.18646687784238242,0.9833053221288516,0.9834353741496599,0.937,0.937,0.015379310553827963,0.0,XGBoost - isotonic
Logistic ,False,False,True,False,2,1000,0.867,0.867,0.2078395122487879,0.2079120519234382,0.34999243791673007,0.3499851289060705,0.9210924369747898,0.9209683873549421,0.867,0.867,0.04717676884990697,0.04898080821952088,Logistic - sigmoid
Naive Bayes ,False,False,True,False,2,1000,0.867,0.867,0.2078391478916684,0.20792243808571012,0.3467425740747025,0.34696640142571417,0.9382873149259705,0.9372108843537414,0.867,0.867,0.0825446662828029,0.07626494293651592,Naive Bayes - sigmoid
SVC ,False,False,True,False,2,1000,0.873,0.873,0.20895461460755768,0.20902187828537236,0.35030838724658,0.35034949863764836,0.9210284113645458,0.9209123649459785,0.873,0.873,0.05021186994603594,0.04849316642021842,SVC - sigmoid
Random forest ,False,False,True,False,2,1000,0.938,0.938,0.10072860490409057,0.10078163649954802,0.17766024627165428,0.17790861830608506,0.9779271708683472,0.9777390956382552,0.938,0.938,0.01792754633158619,0.019153731891571997,Random forest - sigmoid
XGBoost ,False,False,True,False,2,1000,0.939,0.939,0.08951840875749505,0.08962781865482594,0.1560897299775493,0.15639287495668175,0.9840896358543417,0.9840576230492197,0.939,0.939,0.017453738143743205,0.01517240332955974,XGBoost - sigmoid
Logistic ,False,False,False,True,2,1000,0.862,0.863,0.20777397533532654,0.20789765816522407,0.3348884771063529,0.33514083724867255,0.9193577430972388,0.9188995598239296,0.862,0.863,0.04086015460358337,0.0,Logistic - venn_abers
Naive Bayes ,False,False,False,True,2,1000,0.865,0.865,0.19399463590914495,0.1941152255165245,0.3081537590492396,0.3083528870864102,0.9376150460184074,0.9374309723889556,0.865,0.865,0.0,0.0,Naive Bayes - venn_abers
SVM ,False,False,False,True,2,1000,0.861,0.861,0.21140748644149737,0.21153396959769977,0.3403252248628174,0.3405648292172648,0.9188635454181673,0.9188955582232894,0.861,0.861,0.0,0.0,SVM - venn_abers
Random forest ,False,False,False,True,2,1000,0.932,0.932,0.11073915899578886,0.1107894938158704,0.19454440303429912,0.1947573678342494,0.9735374149659864,0.9736734693877551,0.932,0.932,0.0,0.0,Random forest - venn_abers
XGBoost ,False,False,False,True,2,1000,0.936,0.936,0.09719107038299228,0.0972430508922528,0.16511373155478648,0.16508955114075127,0.9818087234893957,0.9818047218887556,0.936,0.936,0.0,0.0,XGBoost - venn_abers
Logistic,True,False,False,False,2,1000,0.868,0.868,0.20702479533876708,0.2070940123862895,0.3497326275624629,0.3497209812093341,0.9212885154061625,0.9210844337735093,0.868,0.868,0.04345850494103933,0.04154548060256614,Logistic- exch
Naive Bayes,True,False,False,False,2,1000,0.865,0.864,0.2199294080186114,0.2033321478559423,0.4220032545042355,0.33466952475766554,0.9378471388555422,0.9322048819527811,0.865,0.864,0.10840182071958868,0.04605931833147581,Naive Bayes- exch
SVM,True,False,False,False,2,1000,0.873,0.871,0.20895461460755768,0.20897862427798428,0.35030838724658,0.3503458384169395,0.9210284113645458,0.9207683073229291,0.873,0.871,0.05021186994603596,0.05015470334238912,SVM- exch
