,metric,base,protected,seed,dataset,model
0,log_loss,0.3365431638559332,0.30949119528967245,100,Phishing,ARF
1,brier_loss,0.0907062372096919,0.08469636288576485,100,Phishing,ARF
2,accuracy,0.8892455858747994,0.8908507223113965,100,Phishing,ARF
0,log_loss,0.24289315710669612,0.2156936547944089,101,Phishing,ARF
1,brier_loss,0.06832784559889467,0.06307435484225739,101,Phishing,ARF
2,accuracy,0.9181380417335474,0.9197431781701445,101,Phishing,ARF
0,log_loss,0.21233422371767616,0.1775056343560972,102,Phishing,ARF
1,brier_loss,0.05810328698373559,0.05189564797303253,102,Phishing,ARF
2,accuracy,0.9325842696629213,0.9325842696629213,102,Phishing,ARF
0,log_loss,0.1936639325775614,0.1709678623940612,103,Phishing,ARF
1,brier_loss,0.053226845693308995,0.04931940136818866,103,Phishing,ARF
2,accuracy,0.9357945425361156,0.9317817014446228,103,Phishing,ARF
0,log_loss,0.18263378679666922,0.14548454394163254,104,Phishing,ARF
1,brier_loss,0.04810387901308776,0.04138530926509526,104,Phishing,ARF
2,accuracy,0.9446227929373997,0.9446227929373997,104,Phishing,ARF
0,log_loss,0.32171672769445997,0.320561925206664,100,Phishing,SRP
1,brier_loss,0.07818073986089473,0.07792040933025414,100,Phishing,SRP
2,accuracy,0.9012841091492777,0.9020866773675762,100,Phishing,SRP
0,log_loss,0.19944339226095872,0.19928993209192405,101,Phishing,SRP
1,brier_loss,0.05882460341381746,0.05870869061924774,101,Phishing,SRP
2,accuracy,0.9181380417335474,0.9213483146067416,101,Phishing,SRP
0,log_loss,0.15614683445515556,0.1558988668116358,102,Phishing,SRP
1,brier_loss,0.0447104004420138,0.044641918011196234,102,Phishing,SRP
2,accuracy,0.9398073836276083,0.9406099518459069,102,Phishing,SRP
0,log_loss,0.13895694847148038,0.13803052622642698,103,Phishing,SRP
1,brier_loss,0.03886326331008111,0.03866200731393914,103,Phishing,SRP
2,accuracy,0.9462279293739968,0.9478330658105939,103,Phishing,SRP
0,log_loss,0.11939658325751895,0.11500932862325826,104,Phishing,SRP
1,brier_loss,0.033127805142002614,0.03218133827565961,104,Phishing,SRP
2,accuracy,0.9614767255216693,0.9622792937399679,104,Phishing,SRP
0,log_loss,0.3267341240164661,0.26965138837297137,100,Phishing,ADWIN
1,brier_loss,0.08429015720498732,0.07306401597767329,100,Phishing,ADWIN
2,accuracy,0.9012841091492777,0.9012841091492777,100,Phishing,ADWIN
0,log_loss,0.24478288439909943,0.19776468720934604,101,Phishing,ADWIN
1,brier_loss,0.0661716436518969,0.058471244868015235,101,Phishing,ADWIN
2,accuracy,0.9213483146067416,0.9229534510433387,101,Phishing,ADWIN
0,log_loss,0.20927933471241342,0.17236754891866024,102,Phishing,ADWIN
1,brier_loss,0.05548392602909852,0.049741081820337735,102,Phishing,ADWIN
2,accuracy,0.9341894060995185,0.9365971107544141,102,Phishing,ADWIN
0,log_loss,0.19541894721617617,0.15613089481206574,103,Phishing,ADWIN
1,brier_loss,0.050464874881999244,0.04392310843977408,103,Phishing,ADWIN
2,accuracy,0.9398073836276083,0.942215088282504,103,Phishing,ADWIN
0,log_loss,0.1923718362179882,0.15172088079756507,104,Phishing,ADWIN
1,brier_loss,0.04948519017812926,0.042915244046850924,104,Phishing,ADWIN
2,accuracy,0.9462279293739968,0.9454253611556982,104,Phishing,ADWIN
0,log_loss,0.31825416044994137,0.261485256317954,100,Phishing,Bagging
1,brier_loss,0.08126214859828089,0.06946499325912957,100,Phishing,Bagging
2,accuracy,0.9101123595505618,0.9093097913322632,100,Phishing,Bagging
0,log_loss,0.23324317102767914,0.19418172611804013,101,Phishing,Bagging
1,brier_loss,0.0630613779447198,0.05642948981891848,101,Phishing,Bagging
2,accuracy,0.92776886035313,0.9245585874799358,101,Phishing,Bagging
0,log_loss,0.20480622459045394,0.16545176571942072,102,Phishing,Bagging
1,brier_loss,0.05417863449319962,0.047470242646006064,102,Phishing,Bagging
2,accuracy,0.9414125200642055,0.9390048154093098,102,Phishing,Bagging
0,log_loss,0.19744001816578508,0.15373389237622442,103,Phishing,Bagging
1,brier_loss,0.05078472334994151,0.04329609133474791,103,Phishing,Bagging
2,accuracy,0.9430176565008026,0.9438202247191011,103,Phishing,Bagging
0,log_loss,0.18942877215936868,0.14343823320021132,104,Phishing,Bagging
1,brier_loss,0.04828426249152743,0.04065294656965788,104,Phishing,Bagging
2,accuracy,0.9462279293739968,0.9486356340288925,104,Phishing,Bagging
0,log_loss,0.5863637137017144,0.528563779049583,100,Phishing,Hoeffding
1,brier_loss,0.11057456775394464,0.10951794555153745,100,Phishing,Hoeffding
2,accuracy,0.8723916532905297,0.8715890850722311,100,Phishing,Hoeffding
0,log_loss,0.34169671233465104,0.3408160756276532,101,Phishing,Hoeffding
1,brier_loss,0.09826706625418287,0.09818229213050299,101,Phishing,Hoeffding
2,accuracy,0.8884430176565008,0.8884430176565008,101,Phishing,Hoeffding
0,log_loss,0.3590106731339383,0.35170457323277476,102,Phishing,Hoeffding
1,brier_loss,0.08173229061276889,0.08167885570505276,102,Phishing,Hoeffding
2,accuracy,0.9028892455858748,0.9020866773675762,102,Phishing,Hoeffding
0,log_loss,0.4783331890330482,0.45649380501787157,103,Phishing,Hoeffding
1,brier_loss,0.09315890474480953,0.0932085724509491,103,Phishing,Hoeffding
2,accuracy,0.8892455858747994,0.8884430176565008,103,Phishing,Hoeffding
0,log_loss,0.40107686714472546,0.3825790307640477,104,Phishing,Hoeffding
1,brier_loss,0.08398865450184967,0.08398426386317491,104,Phishing,Hoeffding
2,accuracy,0.8996789727126806,0.9012841091492777,104,Phishing,Hoeffding
0,log_loss,0.5380984217831946,0.5027346683998861,100,Phishing,EFTree
1,brier_loss,0.1019874935192987,0.10194567343478558,100,Phishing,EFTree
2,accuracy,0.8820224719101124,0.8820224719101124,100,Phishing,EFTree
0,log_loss,0.35866424018819004,0.35356769502792784,101,Phishing,EFTree
1,brier_loss,0.07764003240757213,0.07767025788599799,101,Phishing,EFTree
2,accuracy,0.9101123595505618,0.9109149277688604,101,Phishing,EFTree
0,log_loss,0.33124797746571893,0.32442687569029877,102,Phishing,EFTree
1,brier_loss,0.0736162269962643,0.07365134730955156,102,Phishing,EFTree
2,accuracy,0.913322632423756,0.913322632423756,102,Phishing,EFTree
0,log_loss,0.30267403411451826,0.3012557158584814,103,Phishing,EFTree
1,brier_loss,0.0743362984539359,0.07439068309426096,103,Phishing,EFTree
2,accuracy,0.913322632423756,0.9141252006420546,103,Phishing,EFTree
0,log_loss,0.2796672390714058,0.27721050316585,104,Phishing,EFTree
1,brier_loss,0.06883523773760643,0.06892909012170466,104,Phishing,EFTree
2,accuracy,0.9149277688603531,0.9157303370786517,104,Phishing,EFTree
0,log_loss,0.28234565029293734,0.28218590778819197,100,Phishing,DriftSRP
1,brier_loss,0.07481937433224864,0.07483412390984588,100,Phishing,DriftSRP
2,accuracy,0.9020866773675762,0.9012841091492777,100,Phishing,DriftSRP
0,log_loss,0.20256135355720833,0.20270150655374755,101,Phishing,DriftSRP
1,brier_loss,0.05893824077049477,0.0589417959893688,101,Phishing,DriftSRP
2,accuracy,0.9197431781701445,0.920545746388443,101,Phishing,DriftSRP
0,log_loss,0.15237805613057603,0.15221020717503037,102,Phishing,DriftSRP
1,brier_loss,0.04430572073677198,0.044339454677570396,102,Phishing,DriftSRP
2,accuracy,0.9406099518459069,0.9398073836276083,102,Phishing,DriftSRP
0,log_loss,0.1313686951320151,0.13007005019678095,103,Phishing,DriftSRP
1,brier_loss,0.036820431975901735,0.036580915971902,103,Phishing,DriftSRP
2,accuracy,0.9502407704654896,0.9510433386837881,103,Phishing,DriftSRP
0,log_loss,0.12044566471761813,0.11693343816202109,104,Phishing,DriftSRP
